Ldim_ID,Mouse_Prot_ID,Gene_Name,Identity,Length,Mism,Gap,qs,qe,ss,se,Evalue,Bitscore
g17736,XP_006528741.1,Ap1s2,99.3,142,1,0,42,183,1,142,4.50E-97,280
g51424,XP_036009655.1,Cfap20,99.3,135,1,0,55,189,142,276,1.49E-93,275
g58432,NP_001332985.1,Meis2,99.3,306,2,0,87,392,1,306,4.44E-202,560
g13046,NP_001300852.1,Actg1,99.2,253,2,0,123,375,1,253,3.37E-182,506
g3081,NP_001334468.1,Nr2f1,99.2,261,2,0,151,411,1,261,5.21E-186,518
g9492,NP_001344836.1,U2af1,99.2,118,1,0,74,191,1,118,1.34E-83,248
g10386,NP_001297399.1,Eloc,99.1,111,1,0,2,112,24,134,1.91E-79,231
g10814,NP_034069.2,Cops2,99.1,442,4,0,1,442,1,442,3.99e-316,856
g12000,NP_001355590.1,Psmc2,99.1,434,3,1,1,434,1,433,2.48e-312,845
g12209,NP_001163048.1,Ube2h,99.1,113,1,0,71,183,1,113,7.10E-73,216
g145043,NP_062723.1,Gabarap,99.1,116,1,0,1,116,1,116,4.72E-79,229
g21832,NP_001344429.1,Csnk1a1,99.1,324,3,0,1,324,1,324,3.00E-220,604
g3519,XP_006530563.1,Rab35,99.1,117,1,0,1,117,1,117,6.21E-80,236
g7254,NP_001390186.1,Tmed2,99.1,116,1,0,86,201,1,116,6.94E-76,225
g14474,XP_030102286.1,H2az2,99,100,1,0,28,127,31,130,1.44E-64,194
g19726,NP_001164337.1,Ncald,99,193,2,0,1,193,1,193,2.02E-138,385
g5692,NP_001334338.1,Erh,99,104,1,0,1,104,20,123,9.88E-73,213
g1277,NP_033110.1,Rpl37a,98.9,92,1,0,27,118,1,92,1.27E-61,184
g20633,XP_011244637.1,Six2,98.9,179,2,0,1,179,1,179,5.25E-131,372
g6011,NP_031507.1,Arf6,98.9,175,2,0,1,175,1,175,1.40E-127,357
g5194,NP_001177187.1,Rps27rt,98.8,84,1,0,1,84,1,84,5.56E-59,176
g10385,NP_080049.3,Ube2w,98.7,151,2,0,1,151,1,151,1.40E-113,319
g10880,NP_067501.2,Psmd14,98.7,310,4,0,1,310,1,310,2.45E-220,602
g13236,XP_006508112.1,Ppp4c,98.7,228,3,0,80,307,1,228,2.54E-172,478
g13557,NP_031418.1,Acta2,98.7,377,5,0,1,377,1,377,1.01E-280,761
g14751,NP_032709.1,Nedd8,98.7,76,1,0,1,76,1,76,1.09E-45,142
g18900,NP_080809.1,Rps13,98.7,151,2,0,1,151,1,151,1.92E-102,291
g19138,NP_001304103.1,Ago1,98.7,687,9,0,172,858,20,706,0,1399
g2375,XP_006498319.1,Ppp6c,98.7,227,3,0,79,305,1,227,1.37E-173,481
g5118,NP_001156957.1,Rpl30,98.7,75,1,0,1,75,37,111,2.12E-50,155
g13644,NP_001041522.1,Rpl38,98.6,70,1,0,1,70,1,70,3.00E-41,130
g19268,NP_035785.1,Tubb5,98.6,444,6,0,1,444,1,444,0,880
g21791,NP_064296.1,Ube2d2a,98.6,147,2,0,1,147,1,147,2.75E-109,308
g32062,XP_036015415.1,Pbx3,98.6,139,2,0,198,336,1,139,4.60E-87,266
g3647,NP_941015.2,Ap2s1,98.6,142,2,0,1,142,1,142,1.49E-97,278
g60,NP_077137.1,Rps23,98.6,143,2,0,1,143,1,143,4.80E-99,282
g8762,NP_001346129.1,Ubl3,98.6,73,1,0,46,118,1,73,1.89E-48,150
g9290,NP_001288601.1,Sumo3,98.6,74,1,0,1,74,1,74,1.43E-47,148
g10041,XP_030107429.1,Eif2s3y,98.5,275,4,0,180,454,1,275,1.01E-187,526
g10998,NP_079869.1,Polr2l,98.5,67,1,0,1,67,1,67,4.50E-46,142
g16661,NP_733769.1,Rps15a,98.5,130,2,0,19,148,1,130,7.94E-92,263
g23030,NP_001153488.1,Gnb1,98.5,340,5,0,1,340,1,340,3.89E-200,554
g272,NP_035562.1,Snrpc,98.5,67,1,0,1,67,1,67,1.56E-44,145
g15260,XP_006496234.1,Cnot9,98.4,245,4,0,53,297,1,245,1.51E-170,473
g16491,NP_666228.1,Tubb4b,98.4,445,6,1,1,444,1,445,0,882
g3525,NP_001357876.1,Ppp1ccb,98.4,314,5,0,1,314,1,314,3.35E-237,647
g3791,NP_001300657.1,Cul3,98.4,681,11,0,87,767,37,717,0,1307
g492,NP_080287.1,Arl8b,98.4,186,3,0,1,186,1,186,4.44E-134,374
g6573,NP_080371.1,Snrpd3,98.4,127,1,1,1,127,1,126,2.17E-60,183
g8189,NP_079599.1,Sf3b6,98.4,125,2,0,1,125,1,125,8.44E-89,254
g10363,NP_001264030.1,Cops5,98.3,286,5,0,47,332,32,317,2.61E-207,571
g10535,NP_080423.1,Rps20,98.3,119,2,0,1,119,1,119,6.32E-79,229
g11261,NP_032974.2,Psmc3,98.3,421,6,1,8,427,22,442,1.70E-292,795
g18005,XP_036014867.1,Gm6158,98.3,289,5,0,2096,2384,1,289,4.36E-191,583
g20859,NP_001157808.1,Marchf5,98.3,235,4,0,1,235,6,240,9.69E-172,475
g21697,NP_033106.1,Rpl26,98.3,116,2,0,1,116,30,145,3.90E-71,210
g21721,NP_001239388.1,Cyfip2,98.3,1013,16,1,1,1012,1,1013,0,1993
g117572,NP_001028395.1,Lin7a,98.2,111,1,1,108,217,1,111,4.64E-52,165
g2986,NP_001405103.1,Mob1a,98.2,171,3,0,46,216,1,171,6.11E-125,352
g7941,NP_033119.1,Rps29,98.2,56,1,0,1,56,1,56,1.33E-40,127
g13060,NP_062686.1,Rbx1,98.1,108,2,0,14,121,1,108,3.00E-82,237
g16628,NP_001344131.1,Get3,98.1,207,4,0,118,324,1,207,1.59E-144,410
g17170,NP_001404167.1,Polr2h,98.1,53,1,0,1,53,1,53,8.00E-31,108
g217212,XP_036012979.1,Cyfip2,98.1,891,16,1,1,890,1,891,0,1754
g22637,NP_001171436.1,Naa10,98.1,157,3,0,1,157,1,157,3.07E-110,317
g3448,NP_076360.1,Set,98.1,207,4,0,25,231,37,243,9.56E-141,399
g6974,NP_663330.2,Rnf185,98.1,160,3,0,34,193,69,228,1.76E-115,329
g12619,NP_082222.1,Dcaf7,98,342,7,0,1,342,1,342,3.16E-264,716
g183224,NP_001157720.1,Tpm1,98,99,2,0,150,248,186,284,8.83E-10,59.7
g20295,NP_001335177.1,Fbxo11,98,843,16,1,39,880,1,843,1.09E-291,828
g221022,NP_033474.1,Tuba1c,98,450,8,1,1,450,1,449,0,895
g4701,NP_001033697.2,Txnl4a,98,51,1,0,1,51,1,51,1.19E-32,111
g5239,NP_001404155.1,Rps5,98,204,3,1,1,203,1,204,6.64E-140,390
g14452,NP_766295.2,Ppp1cb,97.9,327,7,0,1,327,1,327,3.34E-247,672
g17209,NP_001397541.1,Zranb2,97.9,95,2,0,44,138,1,95,4.05E-60,195
g17999,NP_033198.1,Siah1a,97.9,282,6,0,5,286,1,282,6.52E-212,579
g18363,NP_033827.2,Nr2f2,97.9,339,7,0,79,417,76,414,1.64E-246,677
g19139,XP_036019842.1,Ago3,97.9,626,13,0,235,860,1,626,0,1255
g3214,NP_062655.1,Ncs1,97.9,190,4,0,1,190,1,190,3.48E-133,372
g16732,NP_619610.1,Eif4a3,97.8,406,8,1,1,406,7,411,6.66E-286,776
g183632,NP_899084.2,Nr2f2,97.8,267,6,0,157,423,15,281,3.37E-187,522
g2208,NP_001156897.1,Cops9,97.8,45,1,0,12,56,1,45,3.53E-23,94.7
g5815,NP_064313.1,Sumo3,97.8,92,2,0,1,92,1,92,9.73E-61,182
g7470,NP_001135437.1,Naa20,97.8,178,4,0,1,178,1,178,7.15E-127,355
g9406,NP_083795.2,Rap2a,97.8,183,4,0,1,183,1,183,1.74E-125,352
g1352,NP_001034571.1,Klhl20,97.7,397,9,0,6,402,1,397,4.05E-256,717
g16552,NP_033809.1,Ap2m1,97.7,436,9,1,1,436,1,435,1.37e-310,841
g1913,NP_031694.1,Cdk5,97.7,217,5,0,1,217,1,217,6.78E-158,440
g218323,NP_001344427.1,Csnk1a1,97.7,352,8,0,1,352,1,352,2.74E-237,649
g8020,NP_032973.1,Psmc1,97.7,440,10,0,1,440,1,440,6.82E-295,802
g4386,NP_001406946.1,Cab39,97.6,292,7,0,50,341,1,292,2.25E-190,527
g5891,NP_001351302.1,Cpsf3,97.6,466,11,0,11,476,4,469,0,926
g804,NP_001280581.1,Rab7,97.6,207,5,0,1,207,1,207,6.93E-146,405
g12119,XP_030111502.1,Ahcyl2,97.5,404,10,0,189,592,1,404,7.38E-297,812
g20673,NP_666355.1,Actr2,97.5,394,10,0,36,429,1,394,6.47E-288,782
g21147,NP_722493.2,Polr2b,97.5,1173,29,0,1,1173,1,1173,0,2314
g21587,NP_001411800.1,Ppp2cb,97.5,244,6,0,66,309,1,244,4.71E-186,513
g22411,XP_036016664.1,Taf11,97.5,40,1,0,93,132,97,136,4.27E-17,76.6
g3640,NP_081219.1,Snrpd2,97.5,118,3,0,1,118,1,118,4.83E-78,227
g7688,NP_057885.1,Rab10,97.5,200,5,0,1,200,1,200,9.17E-141,392
g13964,NP_033033.1,Rac1,97.4,192,5,0,1,192,1,192,9.25E-139,386
g17909,NP_080969.2,Gabarapl2,97.4,117,3,0,1,117,1,117,3.21E-80,233
g18198,NP_001123916.1,Hras,97.4,151,4,0,1,151,1,151,6.69E-103,295
g4510,NP_035426.1,Rps18,97.4,152,4,0,1,152,1,152,1.45E-102,291
g70072,NP_001297615.1,Mapk10,97.4,379,10,0,42,420,1,379,2.54E-274,749
g9813,XP_006513989.1,Pcbp3,97.4,302,8,0,8,309,38,339,3.87E-208,574
g98133,XP_006513988.1,Pcbp3,97.4,303,8,0,8,310,38,340,1.46E-208,575
g13413,NP_001398810.1,Csnk1e,97.3,295,8,0,1,295,1,295,1.13E-212,592
g14227,NP_032976.1,Psmc5,97.3,406,11,0,1,406,1,406,2.80E-279,759
g32066,NP_001407451.1,Pbx3,97.3,262,7,0,92,353,1,262,1.26E-163,464
g448,NP_598698.1,Brk1,97.3,75,2,0,1,75,1,75,4.75E-47,145
g5535,NP_062754.1,Vps29,97.3,182,5,0,1,182,1,182,1.75E-129,362
g55352,NP_001334382.1,Vps29,97.3,186,5,0,1,186,1,186,1.27E-133,373
g8000,NP_001128164.1,Ost4,97.3,37,1,0,62,98,1,37,2.52E-17,70.5
g11015,NP_001289135.1,Lmo1,97.2,145,4,0,11,155,1,145,2.07E-108,306
g11191,NP_064335.1,Sec11a,97.2,179,5,0,1,179,1,179,3.67E-125,351
g11789,NP_034435.1,Gnai1,97.2,354,10,0,1,354,1,354,3.79E-253,689
g13053,NP_001297699.1,Bud31,97.2,144,4,0,1,144,1,144,1.74E-106,301
g16562,XP_036017346.1,Ldb1,97.2,286,7,1,1,286,287,571,3.21E-210,592
g21181,NP_063918.1,Rpl36a,97.2,106,3,0,1,106,1,106,4.91E-70,206
g22746,NP_001413294.1,Tox3,97.2,71,2,0,207,277,257,327,5.20E-33,133
g227462,NP_001413295.1,Tox3,97.2,71,2,0,176,246,241,311,2.74E-33,133
g3554,NP_061359.2,Ywhag,97.2,247,7,0,1,247,1,247,1.66E-166,461
g3722,NP_619600.2,Prpf8,97.2,2338,62,2,1,2338,1,2335,0,4679
g5391,NP_080195.1,Rpl11,97.2,176,4,1,3,178,4,178,9.00E-121,340
g142342,NP_001346036.1,Spop,97.1,374,11,0,1,374,1,374,1.53E-269,732
g14695,NP_001346081.1,Rbpj,97.1,349,10,0,1,349,1,349,1.20E-250,690
g1645,XP_030105459.1,Rab11b,97.1,205,6,0,14,218,74,278,1.25E-140,395
g19973,NP_035788.1,Twist1,97.1,104,3,0,65,168,103,206,3.81E-63,194
g4287,XP_036012301.1,Nlk,97.1,374,11,0,144,517,2,375,8.57E-272,744
g59292,NP_001351141.1,Ppp2r5c,97.1,344,10,0,99,442,19,362,8.44E-246,676
g10798,XP_006510884.1,Smad3,97,230,7,0,196,425,1,230,1.67E-168,473
g107982,NP_058049.3,Smad3,97,230,7,0,1,230,196,425,1.82E-168,472
g18463,NP_033118.1,Rps17,97,133,4,0,1,133,1,133,1.64E-86,249
g206732,NP_001349828.1,Actr2,97,399,12,0,36,434,1,399,4.95E-290,788
g22660,NP_001344557.1,Rpl10a,97,133,4,0,84,216,1,133,1.93E-85,250
g5133,NP_694693.1,Sf3b4,97,235,7,0,1,235,1,235,3.58E-161,461
g5929,NP_001360882.1,Ppp2r5c,97,367,11,0,66,432,1,367,1.17E-262,721
g7594,NP_001394370.1,Rps12,97,132,4,0,1,132,1,132,1.00E-88,255
g15346,NP_001192314.1,Actr3,96.9,418,13,0,1,418,1,418,4.24e-312,843
g11011,XP_017167728.1,Rras2,96.8,126,4,0,76,201,1,126,3.42E-81,239
g15914,NP_579932.1,Sumo2,96.8,93,3,0,1,93,1,93,4.65E-61,182
g39122,XP_011238476.1,Ccnl1,96.8,63,2,0,38,100,169,231,1.72E-34,130
g11357,NP_001399551.1,Snap25,96.7,61,2,0,138,198,47,107,1.16E-32,115
g11664,NP_001171124.1,H2bc6,96.7,91,3,0,36,126,36,126,6.65E-57,174
g19171,NP_036004.2,Psmc4,96.7,418,13,1,1,417,1,418,2.23E-284,773
g9180,NP_001300652.1,Tuba4a,96.7,246,8,0,203,448,1,246,4.01E-172,484
g1626,NP_001297655.1,Rps15,96.6,118,4,0,28,145,1,118,2.40E-76,224
g18562,NP_033476.1,Tubb2a,96.6,444,15,0,1,444,1,444,0,867
g2686,NP_001161943.1,Dynll2,96.6,89,3,0,1,89,1,89,6.82E-60,179
g11673,NP_081522.1,Snrpf,96.5,86,3,0,1,86,1,86,3.72E-58,174
g117251,NP_001103701.1,Celf2,96.5,491,14,2,37,525,1,490,2.47E-283,778
g13297,XP_036009162.1,Stx1b,96.5,259,9,0,29,287,1,259,1.94E-165,461
g13330,NP_001346030.1,Prkar1b,96.5,257,9,0,60,316,1,257,1.14E-175,488
g145507,NP_001344117.1,Elavl2,96.5,311,11,0,1,311,79,389,3.33E-219,603
g16082,NP_001342122.1,Ctnna2,96.5,905,32,0,1,905,1,905,0,1623
g2074,NP_031482.1,Ap1m1,96.5,423,15,0,1,423,1,423,9.56E-307,830
g216192,NP_067438.1,Prps1,96.5,318,11,0,1,318,1,318,7.05E-224,612
g3477,NP_031419.1,Actb,96.5,375,13,0,1,375,1,375,4.06E-270,734
g8284,NP_080261.2,Ube2g1,96.5,170,6,0,1,170,1,170,7.25E-123,344
g8472,NP_848463.1,Rraga,96.5,313,11,0,1,313,1,313,9.61E-220,601
g9575,NP_032492.1,Kpna3,96.5,521,18,0,1,521,1,521,1.14E-262,727
g9627,NP_079559.2,Mob4,96.5,226,7,1,1,226,1,225,2.93E-163,451
g9932,NP_036183.1,Rpl8,96.5,257,9,0,1,257,1,257,9.02E-185,508
g13741,NP_573486.1,Rac3,96.4,192,7,0,1,192,1,192,1.37E-140,391
g18286,XP_006511203.1,Arih1,96.4,411,14,1,118,528,87,496,1.24e-313,855
g223395,NP_077777.1,Rap1b,96.4,166,6,0,1567,1732,1,166,2.86E-99,318
g8789,NP_080711.1,Ufm1,96.4,83,3,0,1,83,1,83,6.80E-52,158
g11558,NP_001269013.1,Gtf2a2,96.3,27,1,0,1,27,1,27,5.28E-10,53.9
g20936,NP_579930.1,Tm9sf3,96.3,565,21,0,22,586,23,587,0,1050
g21280,NP_067510.3,Smu1,96.3,513,19,0,1,513,1,513,5.69E-294,806
g3953,NP_001346976.1,Serp2,96.3,27,1,0,1,27,1,27,5.21E-10,52.4
g39,NP_001392983.1,Pank4,96.3,27,1,0,55,81,16,42,1.46E-08,56.6
g4033,NP_036182.1,Rps3,96.3,245,7,1,1,245,1,243,8.55E-163,451
g5290,XP_036020431.1,Ago4,96.3,401,15,0,552,952,5,405,2.44E-284,795
g5800,NP_001365858.1,Vsnl1,96.3,191,7,0,1,191,1,191,3.76E-133,372
g8404,NP_032434.3,Stt3a,96.3,705,26,0,1,705,1,705,0,1367
g162082,NP_001177933.1,Lsm6,96.2,79,3,0,1,79,1,79,2.74E-48,157
g17331,NP_001264804.1,Tpm2,96.2,26,1,0,1,26,1,26,1.98E-07,48.5
g18724,NP_033485.1,Ube2h,96.2,183,7,0,1,183,1,183,2.47E-125,352
g22339,NP_663516.1,Rap1a,96.2,185,6,1,1,185,1,184,8.91E-122,343
g2598,XP_036018409.1,Rab14,96.2,157,6,0,1,157,1,157,7.00E-107,305
g8077,NP_001402944.1,Psmc6,96.2,288,11,0,103,390,1,288,7.04E-201,556
g94683,NP_062801.1,Gsk3b,96.2,373,10,1,1,373,1,369,4.66E-264,721
g130832,XP_030104566.1,Ddx17,96.1,129,5,0,277,405,1,129,1.02E-80,255
g13711,NP_001123880.1,Arf1,96.1,181,7,0,1,181,1,181,2.58E-126,354
g14100,XP_006508032.1,Zranb1,96.1,382,14,1,308,688,1,382,7.38E-271,749
g21217,NP_081178.1,Mcts1,96.1,181,7,0,1,181,1,181,1.14E-129,362
g3019,NP_032165.3,Gnaq,96.1,359,14,0,1,359,1,359,5.59E-253,689
g3955,NP_001289899.1,Ap2m1,96.1,434,16,1,1,434,1,433,1.03E-304,826
g11362,NP_001399579.1,Snrpb,96,125,5,0,1,125,17,141,4.90E-77,236
g11601,NP_033023.1,Rab11b,96,150,6,0,1,150,1,150,1.00E-100,291
g140782,NP_001366234.1,Fbxo11,96,850,26,1,41,890,1,842,4.16E-286,814
g19202,NP_112538.1,Lamtor2,96,125,5,0,1,125,1,125,2.52E-81,236
g192312,NP_001343324.1,Ube2e3,96,126,5,0,64,189,82,207,4.54E-89,261
g374,NP_001408150.1,Kcnab2,96,329,13,0,39,367,72,400,1.87E-231,637
g3742,NP_001239585.1,Kcnab2,96,329,13,0,70,398,39,367,1.88E-231,637
g95955,XP_006527624.1,Cask,96,898,36,0,1,898,1,898,0,1751
g10055,NP_001342479.1,Cul1,95.9,777,30,2,1,776,1,776,0,1446
g10971,NP_035829.1,Lin7c,95.9,196,8,0,1,196,1,196,3.72E-128,360
g11508,NP_001396620.1,Psma4,95.9,243,10,0,1,243,1,243,2.80E-165,459
g11754,NP_038675.2,Rps16,95.9,146,6,0,1,146,1,146,2.10E-99,283
g15742,NP_001171015.1,H2ac23,95.9,122,5,0,1,122,1,122,3.47E-76,223
g16112,NP_031865.2,Dhx15,95.9,97,4,0,1,97,699,795,1.04E-59,196
g17392,NP_001391409.1,Btf3l4,95.9,123,5,0,1,123,1,123,1.79E-75,223
g19532,NP_001405988.1,Rps9,95.9,194,8,0,1,194,1,194,1.25E-128,361
g230152,NP_001300890.1,Rhoa,95.9,193,8,0,1,193,1,193,1.08E-133,374
g2310,NP_001164438.1,Wdr33,95.9,242,10,0,1,242,1,242,3.23E-138,418
g4080,XP_017169169.1,Cul5,95.9,651,27,0,130,780,1,651,0,1222
g4459,NP_081535.1,Polr2i,95.9,121,5,0,6,126,5,125,4.36E-89,255
g6368,NP_780311.2,Sf3b5,95.9,49,2,0,1,49,1,49,2.15E-33,110
g7485,NP_035430.1,Rps7,95.9,194,8,0,1,194,1,194,6.92E-126,354
g9077,NP_835585.3,H2ac21,95.9,122,5,0,1,122,1,122,7.01E-76,222
g1014,NP_080011.1,Map1lc3a,95.8,120,5,0,1,120,1,120,1.54E-80,233
g17689,NP_001155241.1,Lmo4,95.8,165,7,0,1,165,1,165,1.73E-123,345
g17788,NP_080382.2,Dr1,95.8,120,5,0,1,120,1,120,2.75E-75,224
g20612,XP_036020524.1,Akt3,95.8,361,15,0,119,479,3,363,1.10E-259,711
g23066,NP_033105.1,Rpl22,95.8,119,5,0,12,130,10,128,7.42E-76,222
g5142,NP_032213.2,Cfap20,95.8,190,8,0,1,190,1,190,3.16E-131,374
g5566,NP_001033726.1,Gng2,95.8,71,3,0,1,71,1,71,4.73E-43,135
g5745,NP_001093579.1,Srp54b,95.8,504,21,0,1,504,1,504,0,942
g5867,NP_033563.2,Yy1,95.8,212,5,1,128,335,203,414,6.18E-104,312
g71782,NP_062689.2,Kcmf1,95.8,142,6,0,1,142,1,142,6.83E-104,303
g10330,NP_705827.2,Cdk8,95.7,464,20,0,1,464,1,464,0,904
g14614,NP_001005859.1,Rpl34,95.7,117,5,0,1,117,1,117,1.45E-74,218
g14981,XP_030099609.1,Anapc10,95.7,69,3,0,1,69,1,69,2.33E-44,144
g15473,XP_036017672.1,Prps2,95.7,277,12,0,42,318,190,466,5.47E-187,525
g17479,NP_001363877.1,Mau2,95.7,416,18,0,183,598,1,416,1.98E-294,806
g17494,NP_079830.2,Polr2e,95.7,210,9,0,1,210,1,210,3.04E-146,407
g22012,NP_081099.1,Arl8a,95.7,186,8,0,1,186,1,186,1.22E-129,363
g2890,NP_033529.3,Vcp,95.7,806,35,0,1,806,1,806,0,1520
g5412,NP_032414.1,Eif3e,95.7,368,15,1,1,368,1,367,1.46E-257,706
g6782,NP_001002239.2,Rpl17,95.7,184,8,0,1,184,1,184,1.54E-124,350
g13366,NP_001171080.1,Ube2i,95.6,158,7,0,1,158,1,158,2.48E-115,324
g18690,NP_001349639.1,Sephs1,95.6,294,13,0,99,392,29,322,9.24E-208,575
g20867,XP_017169698.1,Xpo1,95.6,940,41,0,132,1071,1,940,0,1804
g4604,NP_033524.1,Vamp3,95.6,68,3,0,27,94,15,82,1.61E-38,126
g10235,NP_083742.3,Arl5b,95.5,179,8,0,1,179,1,179,1.10E-126,355
g15224,NP_001098087.1,Rdx,95.5,314,14,0,1,314,1,314,7.88E-217,608
g15632,NP_033022.1,Rab1a,95.5,202,9,0,1,202,4,205,1.10E-138,387
g17101,NP_056631.2,Lsm4,95.5,88,3,1,1,88,1,87,9.11E-58,177
g18447,XP_036011117.1,Ciao2a,95.5,66,3,0,95,160,81,146,1.11E-37,127
g205314,NP_034226.1,Ebf3,95.5,551,21,4,1,547,1,551,0,999
g20736,NP_001277674.1,Nckap1,95.5,1134,51,0,1,1134,1,1134,0,2147
g207362,NP_001342339.1,Nckap1,95.5,1132,51,0,1,1132,1,1132,0,2145
g207363,NP_058661.1,Nckap1,95.5,1128,51,0,1,1128,1,1128,0,2134
g207364,NP_001342340.1,Nckap1,95.5,1126,51,0,1,1126,1,1126,0,2132
g217,NP_114030.2,Smarcd1,95.5,420,16,1,98,514,96,515,4.50E-287,788
g5067,NP_033252.1,Snrpd1,95.5,89,4,0,1,89,1,89,9.47E-56,171
g7045,NP_001346132.1,Cops4,95.5,355,16,0,52,406,1,355,1.07E-243,667
g907,NP_001344042.1,Ahcyl1,95.5,269,12,0,277,545,21,289,7.40E-188,529
g15203,XP_006513984.1,Pcbp3,95.4,328,13,1,8,335,38,363,1.41E-218,602
g205313,XP_030097949.1,Ebf3,95.4,542,21,4,1,538,1,542,0,982
g3455,NP_001155325.1,Smarcb1,95.4,373,17,0,1,373,4,376,1.85E-268,729
g724,NP_036097.1,Psma5,95.4,241,11,0,1,241,1,241,2.36E-163,452
g82472,NP_001003908.1,Cltc,95.4,1678,74,2,1,1678,1,1675,0,3182
g8612,NP_001349299.1,Kat5,95.4,302,14,0,299,600,1,302,5.91E-216,603
g959524,NP_001271432.1,Cask,95.4,926,43,0,1,926,1,926,0,1790
g11926,NP_001004182.1,Tmem178b,95.3,128,6,0,167,294,12,139,2.41E-90,266
g16399,NP_033034.1,Rac2,95.3,192,9,0,1,192,1,192,1.47E-135,378
g18740,NP_542127.1,Ube2n,95.3,150,7,0,1,150,1,150,2.24E-102,291
g21533,NP_659115.3,Etf1,95.3,443,15,1,1,443,1,437,8.19E-303,822
g22567,NP_001278788.1,Rhoc,95.3,193,9,0,1,193,1,193,2.17E-133,373
g8247,NP_001343322.1,Cltc,95.3,1685,76,2,1,1685,1,1682,0,3190
g9584,NP_796279.2,Arl4c,95.3,192,9,0,1,192,1,192,1.12E-130,366
g95954,XP_006527623.1,Cask,95.3,921,43,0,1,921,1,921,0,1781
