Ldim_ID,Zebra_Prot_ID,Gene_Name,Identity,Length,Mism,Gap,qs,qe,ss,se,Evalue,Bitscore
g11255,lcl|NC_133192.1_prot_NP_571666.1_61710,actc1b,99.5,377,2,0,1,377,1,377,3.87e-281,762.0
g1913,lcl|NC_133199.1_prot_NP_571794.1_86158,cdk5,99.5,217,1,0,1,217,1,217,3.85e-160,446.0
g576,lcl|NC_133186.1_prot_NP_957222.1_43578,rab7a,99.5,207,1,0,1,207,1,207,1.66e-149,415.0
g13741,lcl|NC_133187.1_prot_NP_001307335.1_45702,rac3b,99.5,192,1,0,1,192,1,192,3.27e-144,400.0
g19726,lcl|NC_133191.1_prot_NP_001107882.1_58097,ncalda,99.5,193,1,0,1,193,1,193,3.81e-139,387.0
g8188,lcl|NC_133195.1_prot_NP_001007367.1_72866,vsnl1a,99.5,191,1,0,1,191,1,191,4.47e-137,382.0
g11372,lcl|NC_133200.1_prot_NP_001002539.1_87804,ap3s2,99.5,192,1,0,1,192,1,192,9.729999999999999e-137,381.0
g162,lcl|NC_133186.1_prot_NP_001230108.1_43539,rap1ab,99.5,185,1,0,1,185,1,185,2.4e-129,362.0
g22388,lcl|NC_133198.1_prot_NP_775371.1_81750,naca,99.5,215,1,0,1,215,1,215,1.04e-101,295.0
g21147,lcl|NC_133189.1_prot_NP_001019632.2_54418,polr2b,99.4,1174,7,0,1,1174,1,1174,0.0,2341.0
g10330,lcl|NC_133199.1_prot_NP_919389.2_85302,cdk8,99.4,465,2,1,1,464,1,465,0.0,925.0
g548,lcl|NC_133181.1_prot_NP_705945.2_25497,sec61a1a,99.4,476,3,0,1,476,1,476,0.0,923.0
g5829,lcl|NC_133192.1_prot_NP_001004527.3_63368,ppp1cb,99.4,327,2,0,1,327,1,327,9.35e-250,678.0
g16628,lcl|NC_133176.1_prot_NP_001002298.1_3210,get3,99.4,324,2,0,1,324,1,324,2e-234,643.0
g21832,lcl|NC_133189.1_prot_NP_694483.1_53824,csnk1a1,99.4,324,2,0,1,324,1,324,5.06e-222,608.0
g21423,lcl|NC_133189.1_prot_NP_955963.1_53028,polr2g,99.4,172,1,0,1,172,1,172,2.2700000000000003e-123,346.0
g8441,lcl|NC_133185.1_prot_NP_001013542.1_40966,cnih2,99.4,160,1,0,1,160,1,160,1.83e-114,322.0
g21721,lcl|NC_133189.1_prot_NP_001091056.1_53638,cyfip2,99.3,1253,9,0,1,1253,1,1253,0.0,2506.0
g16082,lcl|NC_133176.1_prot_XP_073804156.1_2511,ctnna2,99.3,589,4,0,317,905,1,589,0.0,1101.0
g2074,lcl|NC_133177.1_prot_NP_001318056.1_7814,ap1m1,99.3,423,3,0,1,423,1,423,2.4e-312,845.0
g11261,lcl|NC_133182.1_prot_NP_001002064.1_29779,psmc3,99.3,404,3,0,24,427,1,404,7.51e-285,775.0
g17999,lcl|NC_133193.1_prot_NP_955815.1_65910,siah1,99.3,286,2,0,1,286,1,286,5.42e-217,592.0
g18363,lcl|NC_133193.1_prot_XP_068070813.1_66255,nr2f2,99.3,267,2,0,151,417,14,280,6.319999999999999e-191,531.0
g4845,lcl|NC_133194.1_prot_XP_073787053.1_68860,ube2e1,99.3,143,1,0,60,202,5,147,6.56e-107,305.0
g9488,lcl|NC_133184.1_prot_NP_956013.1_36235,ube2al,99.3,152,1,0,1,152,1,152,6.01e-107,303.0
g17170,lcl|NC_133197.1_prot_NP_001017600.1_80462,polr2h,99.3,150,1,0,1,150,1,150,7.34e-107,302.0
g4701,lcl|NC_133194.1_prot_NP_001005953.1_69138,txnl4a,99.3,142,1,0,1,142,1,142,9.47e-106,299.0
g17736,lcl|NC_133198.1_prot_XP_073794231.1_84043,zgc:162858,99.3,142,1,0,42,183,1,142,6.99e-97,280.0
g3647,lcl|NC_133190.1_prot_NP_998320.1_55059,ap2s1,99.3,142,1,0,1,142,1,142,2.82e-98,280.0
g12914,lcl|NC_133178.1_prot_NP_957026.1_10717,rpl23,99.3,140,1,0,1,140,1,140,9.52e-96,273.0
g21374,lcl|NC_133189.1_prot_NP_001007056.1_53346,rap2c,99.3,137,1,0,1,137,1,137,1.98e-87,262.0
g6990,lcl|NC_133185.1_prot_NP_001002414.1_42050,cabp1b,99.3,152,1,0,71,222,16,167,6.18e-87,256.0
g13046,lcl|NC_133178.1_prot_NP_853632.3_11363,actb2,99.2,375,3,0,1,375,1,375,3.17e-279,757.0
g3554,lcl|NC_133190.1_prot_XP_689050.2_55318,ywhag2,99.2,247,2,0,1,247,1,247,3.98e-170,470.0
g4033,lcl|NC_133193.1_prot_NP_957447.1_65050,rps3,99.2,245,2,0,1,245,1,245,1.98e-169,468.0
g724,lcl|NC_133186.1_prot_NP_991271.1_44854,psma5,99.2,241,2,0,1,241,1,241,5.91e-169,467.0
g2592,lcl|NC_133180.1_prot_NP_001003780.1_18542,ypel1,99.2,119,1,0,1,119,1,119,1.69e-88,253.0
g5831,lcl|NC_133195.1_prot_NP_001313382.1_70559,ypel5,99.2,121,1,0,1,121,1,121,1.56e-85,246.0
g19202,lcl|NC_133191.1_prot_NP_001003549.2_61045,lamtor2,99.2,125,1,0,1,125,1,125,3.48e-84,243.0
g4173,lcl|NC_133190.1_prot_XP_068069614.2_55154,rab30,99.2,119,1,0,3,121,1,119,1.14e-81,243.0
g15742,lcl|NC_133180.1_prot_NP_957367.1_19878,h2ax,99.2,121,1,0,1,121,1,121,5.9e-78,228.0
g8606,lcl|NC_133200.1_prot_XP_009296490.2_89717,si:ch211-113a14.25,99.2,121,1,0,1,121,1,121,2.44e-76,227.0
g19138,lcl|NC_133191.1_prot_NP_001304152.1_61206,ago1,99.1,858,8,0,1,858,1,858,0.0,1743.0
g14452,lcl|NC_133182.1_prot_XP_073762307.1_31672,ppp1cbl,99.1,327,3,0,1,327,1,327,3.81e-249,677.0
g9813,lcl|NC_133184.1_prot_XP_073768030.1_38459,pcbp3,99.1,327,3,0,1,327,1,327,9.12e-232,633.0
g4851,lcl|NC_133194.1_prot_NP_001003606.1_69576,fam49al,99.1,323,3,0,1,323,1,323,4.51e-230,628.0
g13995,lcl|NC_133187.1_prot_NP_001307317.1_46611,mlst8,99.1,326,3,0,1,326,1,326,1.67e-206,569.0
g7084,lcl|NC_133180.1_prot_NP_956977.2_22686,rab14l,99.1,215,2,0,1,215,1,215,7.44e-141,394.0
g3796,lcl|NC_133185.1_prot_XP_001343958.4_41583,ypel2a,99.1,116,1,0,4,119,1,116,2.98e-86,248.0
g6498,lcl|NC_133185.1_prot_NP_852472.1_39961,nrarpa,99.1,112,1,0,1,112,1,112,8.01e-77,223.0
g21181,lcl|NC_133180.1_prot_NP_001189439.1_19094,rpl36a,99.1,106,1,0,1,106,1,106,1.13e-71,210.0
g9239,lcl|NC_133184.1_prot_NP_001013465.1_36292,spopla,99.0,392,4,0,1,392,1,392,1.04e-288,782.0
g3081,lcl|NC_133180.1_prot_NP_571255.1_21301,nr2f1a,99.0,411,4,0,1,411,1,411,1.1899999999999999e-274,748.0
g21060,lcl|NC_133189.1_prot_NP_955843.2_52755,maea,99.0,312,3,0,6,317,85,396,5.31e-229,628.0
g12188,lcl|NC_133179.1_prot_NP_001015043.1_13288,fbxl14b,99.0,400,4,0,1,400,1,400,3.23e-166,473.0
g17494,lcl|NC_133197.1_prot_NP_001003564.1_79418,polr2eb,99.0,210,2,0,1,210,1,210,8.52e-149,413.0
g11011,lcl|NC_133182.1_prot_NP_001017815.1_28834,rras2,99.0,201,2,0,1,201,1,201,7.59e-139,387.0
g5354,lcl|NC_133194.1_prot_NP_001108159.1_69573,hpcal4,99.0,191,2,0,1,191,1,191,3.14e-137,382.0
g17101,lcl|NC_133186.1_prot_NP_956990.1_42886,lsm4,99.0,97,1,0,1,97,1,97,5.21e-68,204.0
g17330,lcl|NC_133197.1_prot_NP_001019638.1_79188,tpm4a,99.0,97,1,0,152,248,188,284,5.82e-13,68.9
g15142,lcl|NC_133181.1_prot_NP_956479.1_23145,tuba8l4,98.9,450,4,1,1,449,1,450,0.0,906.0
g6336,lcl|NC_133180.1_prot_NP_998655.1_20130,zgc:55461,98.9,445,5,0,1,445,1,445,0.0,892.0
g10814,lcl|NC_133200.1_prot_NP_001002055.1_89372,cops2,98.9,442,5,0,1,442,1,442,1.46e-314,852.0
g8020,lcl|NC_133192.1_prot_NP_956327.1_62205,psmc1a,98.9,440,5,0,1,440,1,440,6.69e-298,810.0
g7937,lcl|NC_133195.1_prot_XP_073788702.1_74123,ppp2r5cb,98.9,355,4,0,30,384,83,437,9.740000000000001e-259,714.0
g12131,lcl|NC_133179.1_prot_NP_571574.1_13145,gpr85,98.9,371,4,0,7,377,1,371,4.08e-261,711.0
g11789,lcl|NC_133179.1_prot_NP_957265.1_14602,gnai1,98.9,354,4,0,1,354,1,354,1.2899999999999999e-256,698.0
g13216,lcl|NC_133178.1_prot_NP_001035438.1_10189,rab40c,98.9,279,3,0,1,279,1,279,1.17e-203,558.0
g18198,lcl|NC_133200.1_prot_NP_001017623.1_88923,hrasa,98.9,189,2,0,1,189,1,189,1.56e-136,380.0
g3214,lcl|NC_133183.1_prot_NP_001018350.1_33877,ncs1b,98.9,190,2,0,1,190,1,190,1.14e-134,376.0
g22012,lcl|NC_133197.1_prot_NP_001186949.1_77791,arl8a,98.9,186,2,0,1,186,1,186,5.06e-134,374.0
g5535,lcl|NC_133196.1_prot_NP_956331.1_75651,vps29,98.9,182,2,0,1,182,1,182,4.02e-131,366.0
g7470,lcl|NC_133195.1_prot_NP_001014351.1_73825,naa20,98.9,178,2,0,1,178,1,178,9.53e-128,357.0
g20859,lcl|NC_133188.1_prot_XP_073775746.1_51366,marchf5,98.9,174,2,0,100,273,1,174,6.29e-120,342.0
g17654,lcl|NC_133181.1_prot_NP_571571.1_24694,smx5,98.9,95,1,0,1,95,1,95,4.17e-62,185.0
g11664,lcl|NC_133182.1_prot_NP_001103306.1_31600,zgc:173587,98.9,91,1,0,36,126,34,124,1.6800000000000002e-57,176.0
g5067,lcl|NC_133194.1_prot_NP_775359.1_67804,snrpd1,98.9,90,1,0,1,90,1,90,7.63e-58,176.0
g19139,lcl|NC_133191.1_prot_NP_001289161.1_61204,ago3a,98.8,867,10,0,1,867,1,867,0.0,1760.0
g22712,lcl|NC_133198.1_prot_XP_021329356.1_82289,klhl17,98.8,341,4,0,1,341,1,341,1.06e-241,680.0
g421,lcl|NC_133183.1_prot_NP_997774.1_35535,gnb1a,98.8,340,4,0,1,340,1,340,6.34e-202,558.0
g8298,lcl|NC_133180.1_prot_NP_998187.1_18141,ywhag1,98.8,247,3,0,1,247,1,247,6.599999999999999e-169,467.0
g1850,lcl|NC_133195.1_prot_NP_998331.1_71451,psma8,98.8,251,3,0,1,251,1,251,1.43e-165,459.0
g11673,lcl|NC_133182.1_prot_NP_001003881.1_27967,snrpf,98.8,86,1,0,1,86,1,86,9.99e-59,176.0
g1856,lcl|NC_133177.1_prot_NP_001019593.1_4333,tubb2,98.7,449,6,0,1,449,1,449,0.0,891.0
g13016,lcl|NC_133178.1_prot_XP_017210323.1_11971,cyth3b,98.7,394,5,0,1,394,1,394,2.57e-290,786.0
g9468,lcl|NC_133184.1_prot_XP_009302769.1_36267,gsk3ba,98.7,373,5,0,1,373,1,373,3.64e-272,742.0
g13236,lcl|NC_133187.1_prot_NP_001104638.1_45781,ppp4cb,98.7,307,4,0,1,307,1,307,7.82e-232,631.0
g8472,lcl|NC_133189.1_prot_NP_956008.1_52501,rraga,98.7,315,4,0,1,315,1,315,6.380000000000001e-226,617.0
g15584,lcl|NC_133176.1_prot_NP_001018396.1_1010,tusc3,98.7,300,4,0,37,336,1,300,2.5e-218,598.0
g22922,lcl|NC_133198.1_prot_XP_021329364.1_82381,tmem240a,98.7,157,2,0,1,157,19,175,1.26e-119,336.0
g18585,lcl|NC_133193.1_prot_NP_571186.1_66828,lmo2,98.7,157,2,0,1,157,1,157,9.89e-119,333.0
g14593,lcl|NC_133182.1_prot_NP_001314943.1_28600,ap1s1,98.7,158,2,0,1,158,1,158,8.09e-108,305.0
g18900,lcl|NC_133182.1_prot_NP_001002079.1_28708,rps13,98.7,151,2,0,1,151,1,151,5.15e-103,293.0
g16208,lcl|NC_133176.1_prot_NP_001002077.1_2170,lsm6,98.7,79,1,0,1,79,1,79,3.7400000000000004e-49,159.0
g3791,lcl|NC_133190.1_prot_NP_001177414.1_54685,cul3b,98.6,767,10,1,1,767,1,766,0.0,1468.0
g126864,lcl|NC_133178.1_prot_XP_009298008.1_11540,elavl3,98.6,366,5,0,1,366,1,366,4.37e-261,710.0
g126860,lcl|NC_133178.1_prot_XP_005164275.1_11536,elavl3,98.6,365,5,0,1,365,1,365,1.65e-260,709.0
g18011,lcl|NC_133193.1_prot_NP_957081.1_66203,gnao1a,98.6,354,5,0,1,354,1,354,1.1100000000000001e-257,701.0
g126865,lcl|NC_133178.1_prot_XP_017208677.1_11538,elavl3,98.6,353,5,0,1,353,1,353,1.28e-251,685.0
g17669,lcl|NC_133181.1_prot_XP_005165989.2_24654,rab6ba,98.6,208,3,0,1,208,1,208,3.34e-145,404.0
g11127,lcl|NC_133182.1_prot_XP_073763142.1_29531,irx5a,98.6,215,3,0,1,215,1,215,2.36e-140,403.0
g12919,lcl|NC_133178.1_prot_NP_001018569.3_10518,lin7b,98.6,207,3,0,14,220,1,207,1.38e-140,393.0
g13053,lcl|NC_133178.1_prot_NP_001003860.1_11345,bud31,98.6,144,2,0,1,144,1,144,8.06e-108,304.0
g10033,lcl|NC_133199.1_prot_NP_001020624.1_85468,eif1axb,98.6,144,2,0,1,144,1,144,2.68e-88,255.0
g1623,lcl|NC_133177.1_prot_NP_998199.1_5700,rps28,98.6,69,1,0,1,69,1,69,1.51e-41,131.0
g3722,lcl|NC_133190.1_prot_NP_957270.2_56233,prpf8,98.5,2342,30,1,1,2338,1,2342,0.0,4735.0
g5290,lcl|NC_133194.1_prot_NP_001239488.1_70458,ago4,98.5,874,2,1,79,952,1,863,0.0,1752.0
g20673,lcl|NC_133176.1_prot_NP_998664.1_3135,actr2a,98.5,394,6,0,36,429,1,394,6.080000000000001e-289,785.0
g5843,lcl|NC_133192.1_prot_XP_009291619.1_64723,meis2a,98.5,394,4,1,5,398,5,396,3.91e-282,766.0
g14319,lcl|NC_133187.1_prot_NP_956534.2_45502,wdr45b,98.5,344,5,0,1,344,1,344,5.08e-258,701.0
g12000,lcl|NC_133179.1_prot_NP_957260.1_13902,psmc2,98.4,434,6,1,1,434,1,433,1.83e-310,841.0
g2375,lcl|NC_133180.1_prot_NP_957299.1_20013,ppp6c,98.4,305,5,0,1,305,1,305,1.78e-236,643.0
g21619,lcl|NC_133189.1_prot_NP_001070036.1_52468,prps1b,98.4,318,5,0,1,318,1,318,2.93e-228,623.0
g9932,lcl|NC_133184.1_prot_NP_957007.1_37816,rpl8,98.4,257,4,0,1,257,1,257,2.53e-187,514.0
g5356,lcl|NC_133194.1_prot_NP_957017.1_69681,hpca,98.4,193,3,0,1,193,1,193,3.66e-137,382.0
g12209,lcl|NC_133179.1_prot_NP_958897.1_13914,ube2h,98.4,183,3,0,1,183,1,183,1.98e-127,357.0
g9406,lcl|NC_133184.1_prot_XP_003199211.1_35844,rap2aa,98.4,183,3,0,1,183,1,183,1.34e-125,352.0
g17766,lcl|NC_133183.1_prot_NP_001002575.1_33026,tmco1,98.4,188,3,0,1,188,1,188,1.7299999999999998e-119,337.0
g3910,lcl|NC_133193.1_prot_NP_956347.1_66666,ssr3,98.4,185,3,0,1,185,1,185,3.7800000000000005e-117,331.0
g12480,lcl|NC_133178.1_prot_NP_001002497.1_10956,dctn5,98.4,182,3,0,1,182,1,182,1.23e-100,289.0
g8189,lcl|NC_133195.1_prot_NP_001002067.1_72867,sf3b6,98.4,125,2,0,1,125,1,125,9.24e-89,254.0
g8361,lcl|NC_133185.1_prot_NP_956411.1_41240,hist2h2l,98.4,126,2,0,1,126,1,126,5.76e-79,230.0
g22910,lcl|NC_133183.1_prot_NP_001070679.3_35048,mtor,98.3,2515,42,1,4,2516,1,2515,0.0,4891.0
g2567,lcl|NC_133180.1_prot_NP_001258322.1_18969,camk2b1,98.3,531,9,0,1,531,1,531,0.0,1021.0
g18319,lcl|NC_133200.1_prot_NP_001103637.1_89447,roraa,98.3,468,8,0,1,468,1,468,0.0,923.0
g10041,lcl|NC_133199.1_prot_NP_997876.2_85005,eif2s3,98.3,472,8,0,1,472,1,472,0.0,914.0
g11544,lcl|NC_133182.1_prot_NP_955914.1_29501,atp6v0d1,98.3,350,6,0,1,350,1,350,9.47e-257,698.0
g19850,lcl|NC_133191.1_prot_NP_001019612.1_60775,psma2a,98.3,234,4,0,1,234,1,234,1.06e-163,453.0
g10235,lcl|NC_133182.1_prot_NP_956118.1_30080,arl8,98.3,179,3,0,1,179,1,179,1.07e-129,362.0
g11191,lcl|NC_133193.1_prot_NP_001002521.1_66332,sec11a,98.3,179,3,0,1,179,1,179,6.949999999999999e-126,353.0
g1014,lcl|NC_133186.1_prot_NP_999904.1_44325,map1lc3a,98.3,121,2,0,1,121,1,121,1.5e-83,241.0
g10535,lcl|NC_133182.1_prot_NP_998369.1_30785,rps20,98.3,119,2,0,1,119,1,119,6.920000000000001e-79,229.0
g3640,lcl|NC_133193.1_prot_NP_001017582.1_66955,snrpd2,98.3,118,2,0,1,118,1,118,9.14e-79,229.0
g21697,lcl|NC_133189.1_prot_NP_998278.1_54440,rpl26,98.3,116,2,0,1,116,30,145,6.06e-71,210.0
g1942,lcl|NC_133177.1_prot_XP_073769114.1_4440,mib1,98.2,995,18,0,1,995,1,995,0.0,1611.0
g8119,lcl|NC_133195.1_prot_NP_001014344.2_72787,elp3,98.2,548,10,0,1,548,1,548,0.0,1090.0
g5745,lcl|NC_133192.1_prot_NP_957282.1_62237,srp54,98.2,504,9,0,1,504,1,504,0.0,965.0
g4287,lcl|NC_133190.1_prot_NP_001106957.2_56413,nlk2,98.2,396,7,0,122,517,57,452,5.800000000000001e-292,798.0
g374,lcl|NC_133186.1_prot_XP_009304564.1_45209,kcnab2a,98.2,329,6,0,39,367,69,397,3.47e-236,649.0
g12985,lcl|NC_133178.1_prot_NP_998444.1_9519,rps2,98.2,272,5,0,1,272,1,272,2.71e-175,486.0
g7145,lcl|NC_133180.1_prot_NP_898892.1_21524,zmynd19,98.2,227,4,0,1,227,1,227,2.85e-169,466.0
g1645,lcl|NC_133177.1_prot_NP_001002555.1_7855,rab11bb,98.2,218,4,0,1,218,1,218,5.1e-154,427.0
g17689,lcl|NC_133181.1_prot_NP_997854.2_24559,lmo4b,98.2,165,3,0,1,165,1,165,1.18e-126,353.0
g10386,lcl|NC_133177.1_prot_NP_001002440.2_6005,elocb,98.2,112,2,0,1,112,1,112,1.01e-79,231.0
g7941,lcl|NC_133195.1_prot_NP_998118.1_74139,rps29,98.2,56,1,0,1,56,1,56,2.94e-40,127.0
